image_id,ground_truth_labels,finetuned_labels,finetuned_scores,pretrained_labels,pretrained_scores
251290832,"['cell phone', 'handbag']","['cell phone', 'person', 'cell phone', 'cell phone', 'clock', 'cell phone', 'couch', 'car', 'car', 'person', 'car', 'clock', 'laptop', 'couch', 'laptop', 'dog', 'person', 'car', 'clock', 'cup', 'couch', 'car', 'dog', 'person', 'person', 'person', 'cell phone', 'cell phone']","[    0.95129     0.80048     0.20237     0.19451      0.1626     0.14394     0.13655     0.12839     0.10779     0.10058    0.097522    0.088479    0.072108    0.071374    0.070236    0.069344    0.065741    0.065501    0.063131    0.062208    0.061827    0.057948    0.057478    0.056585    0.055379    0.051843
    0.051777    0.050472]","['scissors', 'skis', 'person', 'person', 'person', 'sports ball', 'person', 'keyboard', 'sports ball', 'handbag', 'bottle', 'person', 'wine glass']",[    0.99897     0.96068     0.84237     0.50123     0.44099     0.32546       0.154     0.14152     0.11093     0.10005    0.087753    0.069296    0.068561    0.051706]
252988098,"['person', 'clock']","['person', 'person', 'person']",[    0.93293     0.44081    0.088568],"['person', 'person', 'toilet']",[     0.9947     0.10117     0.06342    0.051099]
269109979,"['cell phone', 'cell phone']","['cell phone', 'cell phone']",[    0.98912     0.98106],"['scissors', 'scissors', 'sink']",[    0.76769      0.5789     0.19257     0.12634]
273683663,['cell phone'],['cell phone'],[    0.95384],"['person', 'person', 'person', 'person', 'person']",[     0.4118     0.31096     0.14264     0.12402    0.080581    0.074866    0.052891]
290496997,"['cell phone', 'cell phone']","['cell phone', 'cell phone']",[    0.98912     0.98124],"['scissors', 'scissors', 'sink']",[    0.76892     0.57891     0.19257     0.12635]
302869575,['cell phone'],"['cell phone', 'person', 'cell phone', 'clock', 'person', 'clock', 'dog', 'car', 'dog', 'person', 'couch', 'laptop', 'laptop', 'cell phone', 'car', 'orange', 'couch']",[    0.90756     0.85658     0.22741     0.16643     0.11553    0.093589    0.091378    0.085199    0.073143    0.071088    0.069471    0.069254    0.061738    0.058814    0.057507    0.054171    0.051487],"['scissors', 'person', 'bottle', 'person', 'parking meter', 'person', 'keyboard', 'person', 'refrigerator', 'parking meter', 'horse']",[    0.99769      0.9838     0.73435     0.73198     0.20142      0.1505     0.11984    0.085915    0.070864    0.061875    0.060271    0.055411]
304480534,"['chair', 'dining table', 'chair']","['couch', 'car', 'cell phone', 'dog', 'clock', 'chair', 'person', 'car']",[   0.085191    0.082619    0.079003    0.075818    0.072164    0.069449    0.067443    0.050771],"['toilet', 'broccoli', 'bird', 'banana', 'broccoli', 'banana', 'bird', 'toilet', 'keyboard']",[    0.94429     0.76954     0.26327     0.25969      0.2558     0.11396      0.1071    0.065654    0.058854]
745482620,['person'],"['person', 'person', 'person', 'person']",[    0.65899     0.47489     0.16212    0.092313],"['person', 'person', 'person', 'person', 'person', 'sink', 'person', 'person']",[    0.98583      0.8739     0.50434     0.22942    0.096558    0.073903     0.06524    0.056113]
747681127,"['laptop', 'person']","['person', 'person', 'person', 'cell phone', 'laptop', 'cell phone', 'laptop', 'clock']",[    0.99263     0.85433     0.35733     0.15501      0.1146    0.082217    0.063594    0.050308],"['person', 'refrigerator', 'vase', 'person', 'refrigerator', 'vase', 'sink', 'keyboard', 'person', 'mouse', 'refrigerator', 'vase', 'cup']",[    0.99708     0.94342     0.84111     0.44004     0.22444     0.20245     0.17976     0.16528     0.13646    0.095426    0.091734    0.079323    0.073125     0.07064    0.070193     0.06568    0.064336    0.050882]
748852551,"['laptop', 'person']","['person', 'person', 'person', 'cell phone', 'laptop', 'cell phone', 'laptop', 'person', 'clock', 'clock']",[    0.98673     0.81219     0.76866     0.11024    0.094355    0.080292    0.070058    0.056459     0.05554    0.053839],"['person', 'refrigerator', 'vase', 'vase', 'person', 'sink', 'keyboard', 'refrigerator', 'refrigerator', 'knife', 'mouse', 'vase']",[    0.99681      0.9286      0.8838     0.38695     0.31926     0.25072     0.23831     0.17758     0.14363     0.13278     0.12803        0.12    0.087854    0.062982]
749623205,['pizza'],"['clock', 'cell phone', 'cell phone', 'laptop', 'car', 'orange', 'clock', 'cup', 'dog', 'person', 'laptop']",[    0.22666     0.16334     0.11168     0.09798    0.086969    0.078681    0.073929     0.06128    0.057905    0.056006    0.055993],"['potted plant', 'potted plant', 'keyboard', 'potted plant', 'keyboard']",[    0.99419     0.94473     0.56225     0.38343     0.13787]
751766238,['cell phone'],"['cell phone', 'cell phone', 'person', 'person', 'cell phone']",[    0.98793     0.35329      0.1566    0.082592    0.070106],"['scissors', 'person', 'person', 'person', 'scissors', 'person']",[    0.99896     0.99514     0.15732     0.11089       0.066     0.05851]
756459256,['person'],"['person', 'person', 'cell phone', 'person']",[      0.977      0.4556    0.069585    0.061192],"['person', 'tie', 'tie', 'car', 'parking meter', 'kite', 'tie', 'car']",[    0.99841     0.95174     0.93092     0.90234     0.48911     0.45116     0.35234     0.16215     0.08545    0.074731    0.069866]
760899287,['person'],"['person', 'person']",[     0.9785     0.08561],"['person', 'person', 'toilet', 'car', 'car', 'person', 'person', 'car', 'bus', 'toilet', 'toilet', 'person', 'truck', 'person', 'car', 'car', 'toilet', 'car', 'snowboard', 'train', 'keyboard', 'car', 'keyboard', 'sink', 'car', 'toilet', 'truck', 'mouse', 'boat']","[    0.98682     0.67723     0.38028        0.38     0.33162     0.29565     0.28012     0.25979     0.24449     0.20332     0.18003     0.16041     0.15116     0.14904     0.14719     0.14544     0.12561     0.12432     0.11794     0.10378    0.098432    0.075489       0.074    0.071135    0.068103    0.066753
    0.063209    0.062235    0.061023     0.06026]"
760933230,['person'],"['person', 'person', 'person', 'person', 'person', 'cell phone', 'person', 'person', 'clock', 'car', 'couch', 'laptop']",[    0.95954     0.89399     0.45727     0.36761     0.25209     0.20876     0.13346     0.11141    0.079225    0.074148    0.067532    0.052572],"['person', 'person', 'person', 'boat', 'boat', 'tie', 'boat', 'cup', 'person', 'surfboard', 'skis', 'scissors', 'boat', 'toilet', 'boat', 'boat', 'person', 'boat', 'person', 'boat', 'bird', 'person', 'boat', 'bird', 'tie', 'person', 'refrigerator', 'person', 'bird', 'keyboard']","[    0.99499     0.95668     0.82116     0.80064     0.67123     0.62462     0.39941     0.37003     0.28172     0.26262     0.25239     0.21603     0.20128     0.20112     0.19882     0.19105     0.17224     0.15805     0.14432     0.11717      0.1159    0.096129    0.081986    0.077428     0.07612    0.076019
     0.07485    0.069308    0.054849    0.053719]"
760996123,['person'],['person'],[    0.95806],['person'],[    0.99293]
761053420,['person'],"['person', 'person', 'clock', 'cell phone', 'car', 'cup', 'couch', 'orange', 'dog', 'car', 'car', 'laptop', 'potted plant']",[    0.97925     0.50727     0.31574     0.22393     0.16496     0.10108    0.096409    0.088316    0.087711    0.076987     0.07047    0.062799     0.05229],"['person', 'keyboard', 'sink', 'scissors', 'toilet', 'book', 'toilet', 'sink', 'skis', 'oven', 'toilet', 'toilet', 'toothbrush', 'mouse', 'sports ball', 'toilet', 'mouse', 'tv', 'toilet', 'toilet', 'person', 'mouse', 'tv', 'keyboard', 'toilet', 'keyboard', 'toilet', 'clock']","[    0.98438     0.74948     0.61767     0.49991      0.4187     0.27697     0.26972     0.26808     0.25488     0.21701       0.177     0.17002     0.15954       0.156     0.14285     0.13364     0.12575    0.099501    0.074282    0.073333    0.069102    0.067359    0.066474    0.062951    0.062762    0.060097
    0.058623    0.058309      0.0573    0.053279]"
1099384407,"['cell phone', 'cell phone']","['cell phone', 'cell phone', 'cell phone']",[    0.98866     0.97445     0.12592],"['scissors', 'scissors', 'skateboard', 'clock', 'scissors', 'toilet', 'sink', 'snowboard', 'refrigerator', 'snowboard', 'toilet', 'person', 'tie', 'sports ball', 'clock', 'hot dog']",[    0.94461     0.73693     0.67287     0.38048     0.22977     0.21438     0.12245     0.11982     0.11322     0.10113    0.098386     0.09266    0.071028    0.068761    0.063634     0.05744     0.05389    0.051404]
1099638286,"['cell phone', 'cell phone']","['cell phone', 'cell phone', 'cell phone', 'cell phone']",[    0.99296      0.9892    0.081276    0.077865],"['scissors', 'scissors', 'clock', 'sink', 'refrigerator', 'sink', 'refrigerator']",[    0.94912     0.91085     0.38178     0.30737     0.15725     0.12266    0.053212    0.050273]
1100403784,['cell phone'],"['cell phone', 'cell phone', 'cell phone', 'clock', 'car', 'laptop', 'cell phone', 'clock']",[    0.51195      0.3357    0.099035    0.083613    0.070866     0.06764    0.063401    0.060222],"['kite', 'tennis racket', 'toothbrush', 'scissors', 'chair', 'banana', 'baseball bat', 'keyboard', 'person', 'bicycle', 'sports ball', 'sink', 'tie', 'carrot', 'truck', 'baseball bat', 'motorcycle']",[    0.85061     0.69064     0.42629     0.28185     0.16975     0.15591     0.12861     0.12047     0.11524     0.10663     0.10307     0.10208    0.079273    0.075825    0.060135    0.059135    0.058417    0.054809    0.054111    0.053563    0.053552    0.052483    0.051951    0.050714]
1100539141,['bed'],"['couch', 'person', 'cell phone', 'laptop', 'car', 'clock', 'dog']",[    0.14322      0.1422      0.1069    0.080424    0.079185    0.055716    0.053756],"['mouse', 'kite', 'mouse', 'tv', 'tv', 'tv', 'tv', 'toilet', 'carrot']",[    0.97675     0.85801     0.53281     0.36519     0.16379     0.14538    0.080359    0.072467    0.065946    0.052328]
1101965372,"['person', 'bicycle']","['clock', 'cell phone', 'person', 'car', 'couch', 'cell phone', 'car', 'dog', 'laptop']",[    0.29417     0.12955     0.11255    0.094186    0.088169    0.074762    0.065259    0.064882    0.064866],"['person', 'bicycle', 'person', 'bicycle', 'skis', 'bicycle', 'skis', 'person', 'person', 'bird', 'sheep', 'bicycle', 'toilet']",[    0.99733     0.99632     0.87295     0.23736     0.22805     0.12475     0.10091    0.085869    0.077337    0.067242    0.065449    0.062282    0.050725]
1102199984,['person'],"['person', 'person', 'person']",[    0.89089     0.58159     0.16459],"['person', 'bear', 'bear']",[    0.96774     0.81545    0.077423]
1104032617,['cell phone'],"['cell phone', 'clock', 'car', 'cell phone', 'laptop']",[    0.28888      0.1316     0.11845     0.07992    0.063998],"['horse', 'airplane', 'horse', 'wine glass', 'scissors', 'horse', 'toothbrush', 'horse', 'person', 'clock']",[    0.94084     0.50696     0.34642     0.19105     0.18827     0.18639     0.12603     0.11826    0.085425    0.083454    0.083177     0.06401    0.062742    0.053652]
1104571508,['person'],"['person', 'person', 'cell phone']",[    0.97964      0.9793    0.058703],"['person', 'person', 'toilet', 'sink', 'sink', 'person', 'tie', 'tie', 'person', 'person', 'keyboard', 'toilet', 'teddy bear', 'toilet', 'toilet', 'tie', 'tie', 'person', 'toilet', 'truck', 'bus', 'person', 'keyboard']",[    0.99245     0.96256     0.78844     0.46779     0.26609     0.16415     0.15306      0.1298      0.1277     0.10972     0.10185    0.098043    0.077565    0.073523      0.0707    0.067284      0.0624    0.061837    0.057844    0.057354    0.056735    0.053926    0.051047]
1105179435,['clock'],"['clock', 'cell phone', 'clock', 'cell phone', 'couch', 'orange', 'car', 'laptop', 'clock', 'cell phone']",[    0.88529     0.35516    0.087854    0.076288    0.074943    0.064653    0.057406    0.055868    0.053397    0.053127],['traffic light'],[    0.99048     0.24131     0.14437    0.063501]
1109374218,['person'],"['person', 'cell phone', 'person']",[    0.98903     0.38335    0.057625],"['person', 'person', 'person', 'tie', 'tie', 'sink', 'bus', 'tie', 'person', 'person', 'surfboard', 'person', 'tie', 'person', 'surfboard', 'person', 'surfboard', 'car', 'person', 'person']",[    0.84039     0.83413      0.7182      0.5092     0.18473     0.14671     0.13752     0.12716     0.11039    0.092823    0.087722    0.080464    0.080267    0.075965    0.068565    0.067012    0.064772    0.063544    0.061077    0.060311    0.055797]
1110165851,['dog'],"['person', 'cell phone', 'couch', 'potted plant', 'orange', 'clock', 'clock', 'dog', 'cell phone', 'cell phone', 'car', 'cup']",[     0.6575     0.15493     0.12841     0.12765     0.12213     0.11058      0.1021    0.091845    0.088261    0.081802    0.073761    0.059152],"['horse', 'laptop', 'laptop', 'keyboard', 'broccoli', 'knife', 'laptop', 'laptop', 'banana', 'keyboard', 'laptop', 'mouse', 'laptop', 'laptop', 'mouse', 'horse', 'bird']","[     0.9957     0.94996     0.86636     0.77305     0.68939     0.68437     0.45588     0.35684     0.33472      0.3337     0.22178     0.21116     0.14331     0.12076     0.11413     0.10722    0.089259    0.088924    0.085981    0.081111    0.080217    0.066532    0.059822    0.058688    0.058248    0.053964
    0.052592]"
1110688032,['cup'],"['cell phone', 'cell phone', 'clock', 'laptop', 'couch', 'car', 'laptop', 'car']",[    0.29251     0.23394    0.089012    0.068326    0.067246    0.063095    0.056018    0.053024],"['kite', 'banana', 'scissors', 'parking meter', 'bench', 'refrigerator', 'sink']",[    0.90116     0.73237     0.25154     0.10501    0.088719     0.08473    0.081785    0.068564    0.068375]
1110760803,['person'],"['person', 'person', 'cell phone']",[    0.98708     0.10449     0.05048],"['person', 'person', 'person', 'snowboard', 'toilet', 'handbag', 'skis', 'skis', 'person', 'person']",[    0.99776     0.50724     0.28707     0.25809     0.19142     0.18617     0.11816      0.1032    0.093235    0.087749    0.077871    0.076146     0.05427]
1110886272,"['person', 'person', 'person']","['person', 'person', 'cell phone', 'person', 'clock', 'clock', 'dog', 'couch', 'cell phone', 'car', 'cell phone', 'dog', 'clock', 'orange', 'dog']",[    0.77283     0.68573     0.28107     0.27606     0.25663     0.12412     0.08383    0.074356    0.071755    0.069047    0.068065    0.064952    0.064756    0.056602    0.051631],"['person', 'snowboard', 'person', 'person', 'person', 'person', 'train', 'snowboard', 'traffic light', 'snowboard', 'car', 'person', 'train', 'truck', 'person', 'knife', 'person', 'car', 'sink', 'person', 'snowboard', 'parking meter', 'person', 'sports ball', 'person']","[    0.93353     0.88723      0.5546     0.52731     0.34629     0.25076     0.23498     0.22427     0.22407     0.20675     0.18833     0.18459     0.18177     0.17927     0.16022     0.15976     0.11735     0.10726    0.091216    0.083577    0.071379    0.067808    0.060546     0.06002    0.052109    0.051826
    0.051158]"
1112142945,['handbag'],"['cell phone', 'couch', 'clock', 'car', 'couch', 'car', 'laptop', 'laptop', 'couch', 'laptop']",[    0.21522     0.16379     0.12842    0.089783    0.080797     0.07351    0.070873    0.059033    0.056803     0.05479],"['sports ball', 'orange', 'skis', 'wine glass', 'toilet', 'traffic light', 'sandwich', 'sports ball']",[    0.86246     0.14833     0.14379     0.12673    0.087919    0.081975    0.080738    0.077178    0.056138    0.050127]
1114428805,['couch'],"['couch', 'car', 'person', 'dog', 'potted plant', 'clock', 'dog', 'laptop', 'orange']",[    0.36724     0.10166    0.096724    0.081859    0.070429    0.067141    0.056903    0.054709    0.053409],"['tv', 'kite', 'tv', 'mouse', 'keyboard', 'keyboard', 'toilet', 'tv']",[    0.95726     0.93687     0.39262     0.37485     0.32569     0.23885     0.13967     0.12125     0.10492]
1115098894,['person'],"['person', 'person', 'person', 'person']",[    0.98646     0.94613     0.26923     0.11914],"['person', 'person', 'person', 'person', 'traffic light', 'person', 'person']",[    0.99677     0.88896     0.87768     0.40009     0.28834     0.24935     0.11241     0.10088    0.086696    0.054097    0.050312]
1118367853,['motorcycle'],"['person', 'cell phone', 'clock', 'car', 'clock', 'person', 'cell phone', 'orange']",[    0.31106     0.29744     0.11514    0.078336    0.059151     0.05644    0.055336    0.053161],"['motorcycle', 'person', 'motorcycle', 'bed']",[     0.9234     0.79422     0.50329     0.17305    0.078546]
1119076205,['person'],"['cell phone', 'person', 'cell phone', 'person', 'person', 'person', 'clock', 'car', 'laptop', 'clock', 'cell phone']",[    0.85587     0.76005     0.33278     0.12833    0.098361    0.063178    0.059685    0.057968    0.057878    0.054758    0.052476],"['person', 'person', 'scissors', 'person', 'person', 'person', 'person', 'handbag', 'bottle', 'person', 'tv', 'person', 'person', 'person', 'person', 'book', 'person', 'person', 'clock', 'person', 'tv', 'sink', 'person', 'tv']","[    0.94093     0.91396      0.8917     0.87676     0.58541     0.56433     0.41157     0.39046     0.39014     0.26871     0.25714     0.23903     0.23727     0.21715     0.19347     0.18134      0.1788     0.16391      0.1456     0.13818     0.13508     0.13333     0.10983     0.10762    0.088912    0.077296
    0.074698    0.068584     0.05668    0.054988    0.050456]"
1119986340,['clock'],"['clock', 'clock', 'dog', 'car']",[    0.95767     0.26094    0.053958    0.053165],"['kite', 'toilet']",[    0.99938     0.97387     0.19134     0.16515    0.079473    0.053142]
1120806347,['person'],"['person', 'cell phone', 'person', 'cell phone', 'clock', 'clock']",[    0.95805     0.50527     0.47947     0.37331    0.061485     0.05832],"['person', 'person', 'person', 'scissors', 'person', 'person', 'sink', 'clock', 'person', 'person', 'person', 'car', 'knife', 'person', 'person', 'snowboard']",[    0.98238     0.78202      0.6439     0.60456      0.6016     0.54988     0.36135     0.24321     0.20266     0.15321     0.13029     0.12523     0.12279     0.10152    0.069282    0.061414    0.054081    0.052917]
1125820716,"['keyboard', 'mouse']","['cell phone', 'cell phone', 'person', 'cell phone', 'cup', 'cell phone', 'orange', 'car', 'cup']",[    0.86101     0.52832     0.14633     0.09567    0.089091    0.086407    0.068376    0.050814    0.050581],"['vase', 'person', 'scissors', 'person', 'refrigerator', 'person', 'clock', 'refrigerator', 'book', 'scissors']",[    0.98373     0.97917      0.9705     0.31321     0.26812     0.16809    0.092279    0.088441    0.070478     0.06833]
1125851419,['car'],"['cell phone', 'car', 'clock', 'cell phone', 'laptop']",[    0.79516    0.098619    0.094966    0.089103    0.073972],"['truck', 'truck', 'car', 'traffic light', 'bus', 'truck', 'truck', 'car', 'bus', 'truck', 'scissors', 'truck', 'bus']",[    0.66955     0.61608     0.47824     0.27051     0.25275     0.16899     0.15875      0.1562     0.10471    0.078316     0.06234    0.060989    0.060203    0.054272]
1126139173,['couch'],"['couch', 'clock', 'person', 'couch', 'car', 'dog', 'laptop', 'car']",[    0.64771     0.10636     0.10102     0.10012    0.083447    0.082048    0.061199    0.052995],"['tv', 'kite', 'toilet']",[      0.985     0.97721     0.12771]
1128581053,"['car', 'car', 'car']","['car', 'person', 'car', 'cell phone', 'cell phone', 'person', 'clock']",[    0.12902    0.090083    0.089284    0.070097    0.069133    0.066067    0.052332],"['car', 'person', 'truck', 'car', 'laptop', 'kite', 'person', 'toilet', 'person', 'broccoli', 'laptop', 'baseball glove', 'person', 'truck', 'boat', 'car', 'car', 'bus', 'banana', 'person', 'truck', 'person', 'boat', 'train', 'person', 'person']",[    0.99455     0.98558     0.98059     0.98035     0.66631     0.63109     0.46091      0.4461     0.39121      0.3772     0.35921     0.26952     0.26741     0.19108     0.17406     0.11421    0.092365    0.090603    0.075761    0.068877    0.058767    0.057063    0.054633    0.053599     0.05292     0.05081]
1129860095,"['potted plant', 'potted plant', 'potted plant']","['clock', 'clock', 'clock', 'potted plant', 'person', 'clock', 'person', 'couch', 'person', 'couch', 'person', 'orange', 'dog', 'potted plant']",[    0.19368     0.16668     0.13129     0.12421     0.12195     0.10863    0.097952    0.073793    0.068895    0.067068    0.055554    0.053901    0.051554    0.051077],"['laptop', 'kite', 'laptop', 'laptop', 'laptop', 'broccoli', 'laptop', 'keyboard', 'keyboard', 'laptop', 'laptop', 'laptop']",[    0.98174     0.96497     0.94146     0.80086     0.79756     0.68719     0.63393     0.60103     0.41526     0.38222     0.28862     0.14396      0.1405    0.081966     0.06439    0.057179     0.05245]
1130245212,"['car', 'car']","['cell phone', 'cell phone', 'car', 'cell phone', 'cell phone', 'car', 'clock', 'clock', 'cup', 'dog', 'laptop', 'laptop', 'person', 'laptop', 'cup', 'person']",[    0.65913     0.35994     0.28652     0.24637     0.23238     0.15643     0.13569    0.089736    0.069575    0.065909    0.065366    0.065126    0.054959    0.053434      0.0518    0.050645],"['car', 'car', 'car', 'car', 'car', 'truck', 'car', 'car', 'truck', 'car', 'car', 'scissors', 'car', 'car', 'bus', 'truck', 'bus', 'person', 'car', 'car', 'car', 'car', 'sink']",[    0.99601     0.99361     0.91114     0.83396     0.37883     0.36204     0.35925     0.25408     0.21489     0.20343     0.18745     0.17716     0.15029     0.12049     0.11264    0.095483     0.09407    0.092905    0.088797    0.079112    0.077953    0.067944    0.066172     0.05979]
1137158013,['car'],"['car', 'clock', 'cell phone', 'car', 'car', 'cup', 'couch', 'laptop', 'laptop', 'dog', 'cup', 'laptop', 'clock', 'orange']",[    0.28743     0.18898     0.18591     0.12122     0.08014    0.077549    0.074118    0.063347    0.060028    0.059807    0.053806    0.053748    0.053298    0.052872],['car'],[     0.9919]
